Expression	Value	Location	Type	
timlmp	Error (col 1): Unknown or ambiguous symbol. timlmp			
aADCxConvertedData	<array>	0x20000408	uint16_t[256]	
[0]	1804	0x20000408	uint16_t	
[1]	2145	0x2000040A	uint16_t	
[2]	1805	0x2000040C	uint16_t	
[3]	2144	0x2000040E	uint16_t	
[4]	1803	0x20000410	uint16_t	
[5]	2145	0x20000412	uint16_t	
[6]	1805	0x20000414	uint16_t	
[7]	2144	0x20000416	uint16_t	
[8]	1804	0x20000418	uint16_t	
[9]	2145	0x2000041A	uint16_t	
[10]	1805	0x2000041C	uint16_t	
[11]	2146	0x2000041E	uint16_t	
[12]	1805	0x20000420	uint16_t	
[13]	2144	0x20000422	uint16_t	
[14]	1805	0x20000424	uint16_t	
[15]	2145	0x20000426	uint16_t	
[16]	1805	0x20000428	uint16_t	
[17]	2145	0x2000042A	uint16_t	
[18]	1805	0x2000042C	uint16_t	
[19]	2145	0x2000042E	uint16_t	
[20]	1806	0x20000430	uint16_t	
[21]	2146	0x20000432	uint16_t	
[22]	1804	0x20000434	uint16_t	
[23]	2144	0x20000436	uint16_t	
[24]	1808	0x20000438	uint16_t	
[25]	2145	0x2000043A	uint16_t	
[26]	1806	0x2000043C	uint16_t	
[27]	2146	0x2000043E	uint16_t	
[28]	1807	0x20000440	uint16_t	
[29]	2145	0x20000442	uint16_t	
[30]	1805	0x20000444	uint16_t	
[31]	2146	0x20000446	uint16_t	
[32]	1805	0x20000448	uint16_t	
[33]	2146	0x2000044A	uint16_t	
[34]	1807	0x2000044C	uint16_t	
[35]	2145	0x2000044E	uint16_t	
[36]	1806	0x20000450	uint16_t	
[37]	2145	0x20000452	uint16_t	
[38]	1806	0x20000454	uint16_t	
[39]	2145	0x20000456	uint16_t	
[40]	1806	0x20000458	uint16_t	
[41]	2146	0x2000045A	uint16_t	
[42]	1806	0x2000045C	uint16_t	
[43]	2145	0x2000045E	uint16_t	
[44]	1806	0x20000460	uint16_t	
[45]	2146	0x20000462	uint16_t	
[46]	1807	0x20000464	uint16_t	
[47]	2147	0x20000466	uint16_t	
[48]	1807	0x20000468	uint16_t	
[49]	2146	0x2000046A	uint16_t	
[50]	1806	0x2000046C	uint16_t	
[51]	2145	0x2000046E	uint16_t	
[52]	1806	0x20000470	uint16_t	
[53]	2146	0x20000472	uint16_t	
[54]	1808	0x20000474	uint16_t	
[55]	2145	0x20000476	uint16_t	
[56]	1806	0x20000478	uint16_t	
[57]	2146	0x2000047A	uint16_t	
[58]	1807	0x2000047C	uint16_t	
